Location,Start Date,End Date,Budget,Interests
Orlando,20-jul,22-jul,"300,00","Cafes, Art, Hiking"
Washington D.C.,31-ago,2-sept,"300,00","Live Sports, Desserts, Beaches"
Boston,27-oct,29-oct,"300,00","Sightseeing, Bars, Shopping"
New Orleans,20-ago,22-ago,"300,00","Museums, Restaurants, Parks"
Seattle,3-jul,5-jul,"300,00","Art, Hiking, Cafes"
Honolulu,9-sept,11-sept,"300,00","Bars, Beaches, Live Sports"
San Diego,21-nov,23-nov,"300,00","Bars, Shopping, Sightseeing"
Nashville,26-jul,28-jul,"300,00","Restaurants, Parks, Museums"
Austin,20-jun,22-jun,"300,00","Hiking, Cafes, Art"
Philadelphia,30-oct,1-nov,"300,00","Live Sports, Desserts, Beaches"
Atlanta,2-dic,4-dic,"300,00","Sightseeing, Bars, Shopping"
Portland,7-nov,9-nov,"300,00","Museums, Restaurants, Parks"
San Antonio,17-ago,19-ago,"300,00","Cafes, Art, Hiking"
Denver,5-sept,7-sept,"300,00","Live Sports, Desserts, Beaches"
Dallas,1-nov,3-nov,"300,00","Sightseeing, Bars, Shopping"
Minneapolis,16-dic,18-dic,"300,00","Museums, Restaurants, Parks"
Salt Lake City,20-ago,24-ago,"400,00","Parks, Cafes, Beaches"
Cape Town,7-dic,11-dic,"400,00","Cafes, Live Sports, Shopping"
Sydney,17-ago,21-ago,"400,00","Live Sports, Cafes, Parks"
Rio de Janeiro,5-oct,9-oct,"400,00","Sightseeing, Live Sports, Cafes"
Los Angeles,26-jul,30-jul,"400,00","Museums, Sightseeing, Hiking"
Florence,23-nov,27-nov,"400,00","Art, Museums, Beaches"
Seoul,21-dic,25-dic,"400,00","Cafes, Art, Shopping"
Vienna,4-nov,8-nov,"400,00","Live Sports, Desserts, Parks"
Toronto,24-ago,28-ago,"400,00","Sightseeing, Bars, Cafes"
Melbourne,21-jun,25-jun,"400,00","Museums, Restaurants, Live Sports"
Buenos Aires,20-jul,24-jul,"400,00","Art, Hiking, Sightseeing"
Mexico City,3-oct,7-oct,"400,00","Desserts, Beaches, Museums"
Prague,9-dic,13-dic,"400,00","Bars, Shopping, Art"
Shanghai,7-ago,11-ago,"400,00","Restaurants, Parks, Desserts"
Hong Kong,19-jul,23-jul,"400,00","Hiking, Cafes, Bars"
Chicago,30-nov,4-dic,"400,00","Beaches, Live Sports, Restaurants"
Las Vegas,21-ago,25-ago,"400,00","Shopping, Sightseeing, Hiking"
Miami,25-nov,1-dic,"500,00","Museums, Shopping, Live Sports"
Tokyo,7-oct,13-oct,"500,00","Art, Parks, Sightseeing"
Paris,9-ago,15-ago,"500,00","Cafes, Restaurants, Museums"
New York City,28-jun,4-jul,"500,00","Live Sports, Hiking, Art"
London,20-sept,26-sept,"500,00","Sightseeing, Beaches, Desserts"
Rome,6-dic,12-dic,"500,00","Museums, Shopping, Bars"
Bangkok,21-oct,27-oct,"500,00","Art, Parks, Restaurants"
Dubai,28-jul,3-ago,"500,00","Desserts, Cafes, Hiking"
Singapore,22-nov,28-nov,"500,00","Bars, Sports, Shopping"
Barcelona,3-ago,9-ago,"500,00","Restaurants, Sightseeing, Shopping"
Istanbul,30-jun,6-jul,"500,00","Hiking, Museums, Bars"
Amsterdam,21-sept,27-sept,"500,00","Beaches, Art, Restaurants"
Berlin,9-dic,15-dic,"500,00","Shopping, Desserts, Hiking"
Madrid,21-oct,27-oct,"500,00","Parks, Bars, Beaches"
Lisbon,27-jul,2-ago,"500,00","Cafes, Restaurants, Shopping"
Venice,21-ago,27-ago,"500,00","Live Sports, Hiking, Parks"
San Francisco,2-jul,8-jul,"500,00","Sightseeing, Beaches, Cafes"
